| Name                               | Value |
| ---------------------------------- | ----- |
| Afghan Hound                       | 1/5   |
| Akita                              | 1/5   |
| Alaskan Klee Kai                   | 0/5   |
| Alaskan Malamute                   | 1/5   |
| American Bulldog                   | 0/5   |
| American Eskimo Dog                | 1/5   |
| American Hairless Terrier          | 1/5   |
| American Leopard Hound             | 1/5   |
| American Staffordshire Terrier     | 1/5   |
| American Water Spaniel             | 1/5   |
| Anatolian Shepherd Dog             | 1/5   |
| Australian Cattle Dog              | 1/5   |
| Australian Shepherd                | 1/5   |
| Barbet                             | 1/5   |
| Basenji                            | 1/5   |
| Basset Hound                       | 4/5   |
| Beagle                             | 1/5   |
| Beauceron                          | 1/5   |
| Belgian Malinois                   | 1/5   |
| Bergamasco Sheepdog                | 2/5   |
| Berger Picard                      | 1/5   |
| Bernese Mountain Dog               | 3/5   |
| Bichon Frise                       | 1/5   |
| Bloodhound                         | 5/5   |
| Boerboel                           | 3/5   |
| Bolognese                          | 1/5   |
| Border Collie                      | 1/5   |
| Borzoi                             | 1/5   |
| Boston Terrier                     | 1/5   |
| Boxer                              | 3/5   |
| Bracco Italiano                    | 2/5   |
| Brittany                           | 1/5   |
| Bull Terrier                       | 1/5   |
| Bullmastiff                        | 3/5   |
| Cane Corso                         | 3/5   |
| Cardigan Welsh Corgi               | 1/5   |
| Cavalier King Charles Spaniel      | 2/5   |
| Chihuahua                          | 1/5   |
| Chinese Shar-Pei                   | 3/5   |
| Chinook                            | 1/5   |
| Chow Chow                          | 3/5   |
| Cocker Spaniel                     | 2/5   |
| Coton de Tulear                    | 1/5   |
| Dachshund                          | 2/5   |
| Dalmatian                          | 2/5   |
| Doberman Pinscher                  | 2/5   |
| Field Spaniel                      | 2/5   |
| French Bulldog                     | 3/5   |
| German Longhaired Pointer          | 2/5   |
| Giant Schnauzer                    | 2/5   |
| Golden Retriever                   | 2/5   |
| Great Dane                         | 4/5   |
| Great Pyrenees                     | 3/5   |
| Greyhound                          | 1/5   |
| Havanese                           | 1/5   |
| Hovawart                           | 2/5   |
| Irish Setter                       | 2/5   |
| Irish Terrier                      | 1/5   |
| Italian Greyhound                  | 1/5   |
| Japanese Chin                      | 1/5   |
| Jindo                              | 1/5   |
| Keeshond                           | 2/5   |
| Komondor                           | 2/5   |
| Labrador Retriever                 | 2/5   |
| Maltese                            | 1/5   |
| Miniature Pinscher                 | 1/5   |
| Mudi                               | 2/5   |
| Newfoundland                       | 5/5   |
| Norfolk Terrier                    | 1/5   |
| Nova Scotia Duck Tolling Retriever | 2/5   |
| Otterhound                         | 3/5   |
| Papillon                           | 1/5   |
| Pekingese                          | 1/5   |
| Pembroke Welsh Corgi               | 1/5   |
| Plott Hound                        | 0/5   |
| Pomeranian                         | 1/5   |
| Poodle (Miniature)                 | 1/5   |
| Pug                                | 1/5   |
| Pumi                               | 2/5   |
| Rhodesian Ridgeback                | 2/5   |
| Rottweiler                         | 3/5   |
| Russian Toy                        | 1/5   |
| Samoyed                            | 1/5   |
| Schipperke                         | 1/5   |
| Shetland Sheepdog                  | 1/5   |
| Shiba Inu                          | 1/5   |
| Shih Tzu                           | 1/5   |
| Siberian Husky                     | 1/5   |
| Smooth Fox Terrier                 | 1/5   |
| Staffordshire Bull Terrier         | 3/5   |
| Tibetan Mastiff                    | 3/5   |
| Treeing Walker Coonhound           | 3/5   |
| Vizsla                             | 2/5   |
| West Highland White Terrier        | 1/5   |
| Whippet                            | 1/5   |
| Xoloitzcuintli                     | 1/5   |
| Yorkshire Terrier                  | 1/5   |

---
current:
  subject: Dogs
  topic: Drooling
  author: Chirag Chauhan
  source: <https://www.kaggle.com/datasets/warcoder/dog-breeds-details>
  file: <./drooling.txt>
    license: CC0 Public Domain
    contributors:
      - [Cerbere.Ace](cerbere.ace@gmail.com) 
...
