| Name                               | Value |
| ---------------------------------- | ----- |
| Afghan Hound                       | 3/5   |
| Akita                              | 3/5   |
| Alaskan Klee Kai                   | 0/5   |
| Alaskan Malamute                   | 3/5   |
| American Bulldog                   | 0/5   |
| American Eskimo Dog                | 3/5   |
| American Hairless Terrier          | 3/5   |
| American Leopard Hound             | 3/5   |
| American Staffordshire Terrier     | 3/5   |
| American Water Spaniel             | 3/5   |
| Anatolian Shepherd Dog             | 3/5   |
| Australian Cattle Dog              | 3/5   |
| Australian Shepherd                | 4/5   |
| Barbet                             | 3/5   |
| Basenji                            | 3/5   |
| Basset Hound                       | 3/5   |
| Beagle                             | 4/5   |
| Beauceron                          | 3/5   |
| Belgian Malinois                   | 3/5   |
| Bergamasco Sheepdog                | 3/5   |
| Berger Picard                      | 3/5   |
| Bernese Mountain Dog               | 4/5   |
| Bichon Frise                       | 4/5   |
| Bloodhound                         | 3/5   |
| Boerboel                           | 3/5   |
| Bolognese                          | 4/5   |
| Border Collie                      | 5/5   |
| Borzoi                             | 3/5   |
| Boston Terrier                     | 5/5   |
| Boxer                              | 4/5   |
| Bracco Italiano                    | 3/5   |
| Brittany                           | 4/5   |
| Bull Terrier                       | 4/5   |
| Bullmastiff                        | 3/5   |
| Cane Corso                         | 3/5   |
| Cardigan Welsh Corgi               | 4/5   |
| Cavalier King Charles Spaniel      | 3/5   |
| Chihuahua                          | 4/5   |
| Chinese Shar-Pei                   | 3/5   |
| Chinook                            | 3/5   |
| Chow Chow                          | 3/5   |
| Cocker Spaniel                     | 3/5   |
| Coton de Tulear                    | 4/5   |
| Dachshund                          | 4/5   |
| Dalmatian                          | 4/5   |
| Doberman Pinscher                  | 4/5   |
| Field Spaniel                      | 3/5   |
| French Bulldog                     | 5/5   |
| German Longhaired Pointer          | 4/5   |
| Giant Schnauzer                    | 4/5   |
| Golden Retriever                   | 4/5   |
| Great Dane                         | 4/5   |
| Great Pyrenees                     | 3/5   |
| Greyhound                          | 3/5   |
| Havanese                           | 5/5   |
| Hovawart                           | 4/5   |
| Irish Setter                       | 5/5   |
| Irish Terrier                      | 3/5   |
| Italian Greyhound                  | 4/5   |
| Japanese Chin                      | 3/5   |
| Jindo                              | 3/5   |
| Keeshond                           | 5/5   |
| Komondor                           | 3/5   |
| Labrador Retriever                 | 5/5   |
| Maltese                            | 3/5   |
| Miniature Pinscher                 | 4/5   |
| Mudi                               | 5/5   |
| Newfoundland                       | 3/5   |
| Norfolk Terrier                    | 4/5   |
| Nova Scotia Duck Tolling Retriever | 5/5   |
| Otterhound                         | 3/5   |
| Papillon                           | 5/5   |
| Pekingese                          | 4/5   |
| Pembroke Welsh Corgi               | 4/5   |
| Plott Hound                        | 0/5   |
| Pomeranian                         | 3/5   |
| Poodle (Miniature)                 | 5/5   |
| Pug                                | 5/5   |
| Pumi                               | 4/5   |
| Rhodesian Ridgeback                | 3/5   |
| Rottweiler                         | 4/5   |
| Russian Toy                        | 4/5   |
| Samoyed                            | 5/5   |
| Schipperke                         | 4/5   |
| Shetland Sheepdog                  | 5/5   |
| Shiba Inu                          | 3/5   |
| Shih Tzu                           | 3/5   |
| Siberian Husky                     | 5/5   |
| Smooth Fox Terrier                 | 4/5   |
| Staffordshire Bull Terrier         | 4/5   |
| Tibetan Mastiff                    | 3/5   |
| Treeing Walker Coonhound           | 4/5   |
| Vizsla                             | 5/5   |
| West Highland White Terrier        | 5/5   |
| Whippet                            | 4/5   |
| Xoloitzcuintli                     | 4/5   |
| Yorkshire Terrier                  | 4/5   |

---
current:
  subject: Dogs
  topic: Playfulness
  author: Chirag Chauhan
  source: <https://www.kaggle.com/datasets/warcoder/dog-breeds-details>
  file: <./playfulness.txt>
    license: CC0 Public Domain
    contributors:
      - [Cerbere.Ace](cerbere.ace@gmail.com) 
...
