| Name                               | Value |
| ---------------------------------- | ----- |
| Afghan Hound                       | 1/5   |
| Akita                              | 3/5   |
| Alaskan Klee Kai                   | 3/5   |
| Alaskan Malamute                   | 5/5   |
| American Bulldog                   | 4/5   |
| American Eskimo Dog                | 4/5   |
| American Hairless Terrier          | 5/5   |
| American Leopard Hound             | 3/5   |
| American Staffordshire Terrier     | 3/5   |
| American Water Spaniel             | 5/5   |
| Anatolian Shepherd Dog             | 2/5   |
| Australian Cattle Dog              | 4/5   |
| Australian Shepherd                | 5/5   |
| Barbet                             | 4/5   |
| Basenji                            | 2/5   |
| Basset Hound                       | 3/5   |
| Beagle                             | 3/5   |
| Beauceron                          | 3/5   |
| Belgian Malinois                   | 5/5   |
| Bergamasco Sheepdog                | 3/5   |
| Berger Picard                      | 4/5   |
| Bernese Mountain Dog               | 4/5   |
| Bichon Frise                       | 4/5   |
| Bloodhound                         | 4/5   |
| Boerboel                           | 4/5   |
| Bolognese                          | 3/5   |
| Border Collie                      | 5/5   |
| Borzoi                             | 2/5   |
| Boston Terrier                     | 4/5   |
| Boxer                              | 4/5   |
| Bracco Italiano                    | 5/5   |
| Brittany                           | 5/5   |
| Bull Terrier                       | 3/5   |
| Bullmastiff                        | 4/5   |
| Cane Corso                         | 4/5   |
| Cardigan Welsh Corgi               | 4/5   |
| Cavalier King Charles Spaniel      | 4/5   |
| Chihuahua                          | 3/5   |
| Chinese Shar-Pei                   | 3/5   |
| Chinook                            | 4/5   |
| Chow Chow                          | 3/5   |
| Cocker Spaniel                     | 4/5   |
| Coton de Tulear                    | 4/5   |
| Dachshund                          | 4/5   |
| Dalmatian                          | 4/5   |
| Doberman Pinscher                  | 5/5   |
| Field Spaniel                      | 5/5   |
| French Bulldog                     | 4/5   |
| German Longhaired Pointer          | 5/5   |
| Giant Schnauzer                    | 5/5   |
| Golden Retriever                   | 5/5   |
| Great Dane                         | 3/5   |
| Great Pyrenees                     | 3/5   |
| Greyhound                          | 3/5   |
| Havanese                           | 4/5   |
| Hovawart                           | 4/5   |
| Irish Setter                       | 4/5   |
| Irish Terrier                      | 3/5   |
| Italian Greyhound                  | 4/5   |
| Japanese Chin                      | 3/5   |
| Jindo                              | 4/5   |
| Keeshond                           | 5/5   |
| Komondor                           | 4/5   |
| Labrador Retriever                 | 5/5   |
| Maltese                            | 3/5   |
| Miniature Pinscher                 | 3/5   |
| Mudi                               | 5/5   |
| Newfoundland                       | 3/5   |
| Norfolk Terrier                    | 3/5   |
| Nova Scotia Duck Tolling Retriever | 5/5   |
| Otterhound                         | 4/5   |
| Papillon                           | 5/5   |
| Pekingese                          | 3/5   |
| Pembroke Welsh Corgi               | 4/5   |
| Plott Hound                        | 0/5   |
| Pomeranian                         | 3/5   |
| Poodle (Miniature)                 | 5/5   |
| Pug                                | 4/5   |
| Pumi                               | 5/5   |
| Rhodesian Ridgeback                | 4/5   |
| Rottweiler                         | 5/5   |
| Russian Toy                        | 4/5   |
| Samoyed                            | 4/5   |
| Schipperke                         | 4/5   |
| Shetland Sheepdog                  | 5/5   |
| Shiba Inu                          | 2/5   |
| Shih Tzu                           | 4/5   |
| Siberian Husky                     | 3/5   |
| Smooth Fox Terrier                 | 3/5   |
| Staffordshire Bull Terrier         | 5/5   |
| Tibetan Mastiff                    | 3/5   |
| Treeing Walker Coonhound           | 5/5   |
| Vizsla                             | 5/5   |
| West Highland White Terrier        | 3/5   |
| Whippet                            | 3/5   |
| Xoloitzcuintli                     | 4/5   |
| Yorkshire Terrier                  | 4/5   |

---
current:
  subject: Dogs
  topic: Trainability
  author: Chirag Chauhan
  source: <https://www.kaggle.com/datasets/warcoder/dog-breeds-details>
  file: <./trainability.txt>
    license: CC0 Public Domain
    contributors:
      - [Cerbere.Ace](cerbere.ace@gmail.com) 
...
