| Name                               | Value |
| ---------------------------------- | ----- |
| Afghan Hound                       | 3/5   |
| Akita                              | 2/5   |
| Alaskan Klee Kai                   | 0/5   |
| Alaskan Malamute                   | 3/5   |
| American Bulldog                   | 1/5   |
| American Eskimo Dog                | 3/5   |
| American Hairless Terrier          | 3/5   |
| American Leopard Hound             | 3/5   |
| American Staffordshire Terrier     | 3/5   |
| American Water Spaniel             | 3/5   |
| Anatolian Shepherd Dog             | 3/5   |
| Australian Cattle Dog              | 1/5   |
| Australian Shepherd                | 3/5   |
| Barbet                             | 3/5   |
| Basenji                            | 1/5   |
| Basset Hound                       | 4/5   |
| Beagle                             | 4/5   |
| Beauceron                          | 3/5   |
| Belgian Malinois                   | 3/5   |
| Bergamasco Sheepdog                | 1/5   |
| Berger Picard                      | 2/5   |
| Bernese Mountain Dog               | 3/5   |
| Bichon Frise                       | 3/5   |
| Bloodhound                         | 5/5   |
| Boerboel                           | 3/5   |
| Bolognese                          | 3/5   |
| Border Collie                      | 4/5   |
| Borzoi                             | 2/5   |
| Boston Terrier                     | 2/5   |
| Boxer                              | 3/5   |
| Bracco Italiano                    | 2/5   |
| Brittany                           | 3/5   |
| Bull Terrier                       | 3/5   |
| Bullmastiff                        | 1/5   |
| Cane Corso                         | 3/5   |
| Cardigan Welsh Corgi               | 5/5   |
| Cavalier King Charles Spaniel      | 3/5   |
| Chihuahua                          | 5/5   |
| Chinese Shar-Pei                   | 3/5   |
| Chinook                            | 5/5   |
| Chow Chow                          | 1/5   |
| Cocker Spaniel                     | 3/5   |
| Coton de Tulear                    | 1/5   |
| Dachshund                          | 5/5   |
| Dalmatian                          | 3/5   |
| Doberman Pinscher                  | 3/5   |
| Field Spaniel                      | 3/5   |
| French Bulldog                     | 1/5   |
| German Longhaired Pointer          | 3/5   |
| Giant Schnauzer                    | 3/5   |
| Golden Retriever                   | 1/5   |
| Great Dane                         | 3/5   |
| Great Pyrenees                     | 3/5   |
| Greyhound                          | 3/5   |
| Havanese                           | 4/5   |
| Hovawart                           | 1/5   |
| Irish Setter                       | 3/5   |
| Irish Terrier                      | 3/5   |
| Italian Greyhound                  | 3/5   |
| Japanese Chin                      | 2/5   |
| Jindo                              | 3/5   |
| Keeshond                           | 4/5   |
| Komondor                           | 3/5   |
| Labrador Retriever                 | 3/5   |
| Maltese                            | 3/5   |
| Miniature Pinscher                 | 5/5   |
| Mudi                               | 4/5   |
| Newfoundland                       | 1/5   |
| Norfolk Terrier                    | 4/5   |
| Nova Scotia Duck Tolling Retriever | 2/5   |
| Otterhound                         | 5/5   |
| Papillon                           | 5/5   |
| Pekingese                          | 1/5   |
| Pembroke Welsh Corgi               | 4/5   |
| Plott Hound                        | 0/5   |
| Pomeranian                         | 4/5   |
| Poodle (Miniature)                 | 4/5   |
| Pug                                | 1/5   |
| Pumi                               | 3/5   |
| Rhodesian Ridgeback                | 2/5   |
| Rottweiler                         | 1/5   |
| Russian Toy                        | 4/5   |
| Samoyed                            | 5/5   |
| Schipperke                         | 4/5   |
| Shetland Sheepdog                  | 5/5   |
| Shiba Inu                          | 3/5   |
| Shih Tzu                           | 3/5   |
| Siberian Husky                     | 5/5   |
| Smooth Fox Terrier                 | 5/5   |
| Staffordshire Bull Terrier         | 3/5   |
| Tibetan Mastiff                    | 3/5   |
| Treeing Walker Coonhound           | 4/5   |
| Vizsla                             | 3/5   |
| West Highland White Terrier        | 5/5   |
| Whippet                            | 1/5   |
| Xoloitzcuintli                     | 3/5   |
| Yorkshire Terrier                  | 4/5   |

---
current:
  subject: Dogs
  topic: Barking
  author: Chirag Chauhan
  source: <https://www.kaggle.com/datasets/warcoder/dog-breeds-details>
  file: <./barking.txt>
    license: CC0 Public Domain
    contributors:
      - [Cerbere.Ace](cerbere.ace@gmail.com) 
...
