| Name                               | Value |
| ---------------------------------- | ----- |
| Afghan Hound                       | 3/5   |
| Akita                              | 3/5   |
| Alaskan Klee Kai                   | 0/5   |
| Alaskan Malamute                   | 3/5   |
| American Bulldog                   | 3/5   |
| American Eskimo Dog                | 5/5   |
| American Hairless Terrier          | 5/5   |
| American Leopard Hound             | 5/5   |
| American Staffordshire Terrier     | 3/5   |
| American Water Spaniel             | 3/5   |
| Anatolian Shepherd Dog             | 3/5   |
| Australian Cattle Dog              | 3/5   |
| Australian Shepherd                | 5/5   |
| Barbet                             | 5/5   |
| Basenji                            | 3/5   |
| Basset Hound                       | 5/5   |
| Beagle                             | 5/5   |
| Beauceron                          | 3/5   |
| Belgian Malinois                   | 3/5   |
| Bergamasco Sheepdog                | 3/5   |
| Berger Picard                      | 3/5   |
| Bernese Mountain Dog               | 5/5   |
| Bichon Frise                       | 5/5   |
| Bloodhound                         | 3/5   |
| Boerboel                           | 4/5   |
| Bolognese                          | 3/5   |
| Border Collie                      | 3/5   |
| Borzoi                             | 3/5   |
| Boston Terrier                     | 5/5   |
| Boxer                              | 5/5   |
| Bracco Italiano                    | 4/5   |
| Brittany                           | 4/5   |
| Bull Terrier                       | 3/5   |
| Bullmastiff                        | 3/5   |
| Cane Corso                         | 3/5   |
| Cardigan Welsh Corgi               | 4/5   |
| Cavalier King Charles Spaniel      | 5/5   |
| Chihuahua                          | 1/5   |
| Chinese Shar-Pei                   | 3/5   |
| Chinook                            | 5/5   |
| Chow Chow                          | 3/5   |
| Cocker Spaniel                     | 5/5   |
| Coton de Tulear                    | 5/5   |
| Dachshund                          | 3/5   |
| Dalmatian                          | 3/5   |
| Doberman Pinscher                  | 5/5   |
| Field Spaniel                      | 5/5   |
| French Bulldog                     | 5/5   |
| German Longhaired Pointer          | 5/5   |
| Giant Schnauzer                    | 3/5   |
| Golden Retriever                   | 5/5   |
| Great Dane                         | 3/5   |
| Great Pyrenees                     | 3/5   |
| Greyhound                          | 3/5   |
| Havanese                           | 5/5   |
| Hovawart                           | 4/5   |
| Irish Setter                       | 5/5   |
| Irish Terrier                      | 5/5   |
| Italian Greyhound                  | 3/5   |
| Japanese Chin                      | 3/5   |
| Jindo                              | 3/5   |
| Keeshond                           | 5/5   |
| Komondor                           | 3/5   |
| Labrador Retriever                 | 5/5   |
| Maltese                            | 3/5   |
| Miniature Pinscher                 | 3/5   |
| Mudi                               | 3/5   |
| Newfoundland                       | 5/5   |
| Norfolk Terrier                    | 5/5   |
| Nova Scotia Duck Tolling Retriever | 5/5   |
| Otterhound                         | 3/5   |
| Papillon                           | 5/5   |
| Pekingese                          | 3/5   |
| Pembroke Welsh Corgi               | 3/5   |
| Plott Hound                        | 0/5   |
| Pomeranian                         | 3/5   |
| Poodle (Miniature)                 | 5/5   |
| Pug                                | 5/5   |
| Pumi                               | 3/5   |
| Rhodesian Ridgeback                | 5/5   |
| Rottweiler                         | 3/5   |
| Russian Toy                        | 3/5   |
| Samoyed                            | 5/5   |
| Schipperke                         | 3/5   |
| Shetland Sheepdog                  | 5/5   |
| Shiba Inu                          | 3/5   |
| Shih Tzu                           | 5/5   |
| Siberian Husky                     | 5/5   |
| Smooth Fox Terrier                 | 3/5   |
| Staffordshire Bull Terrier         | 5/5   |
| Tibetan Mastiff                    | 3/5   |
| Treeing Walker Coonhound           | 5/5   |
| Vizsla                             | 5/5   |
| West Highland White Terrier        | 5/5   |
| Whippet                            | 5/5   |
| Xoloitzcuintli                     | 3/5   |
| Yorkshire Terrier                  | 5/5   |

---
current:
  subject: Dogs
  topic:  Friendly with children
  author: Chirag Chauhan
  source: <https://www.kaggle.com/datasets/warcoder/dog-breeds-details>
  file: <./children.txt>
    license: CC0 Public Domain
    contributors:
      - [Cerbere.Ace](cerbere.ace@gmail.com) 
...
